Product Name,Category,Brand,Price in Rupees,Stock,Description
Cotton T-Shirt,Clothing,Essentials,299,150,Comfortable cotton t-shirt available in various colors and sizes
Denim Jeans,Clothing,Levis,1499,75,Classic fit denim jeans with straight leg design
Running Shoes,Footwear,Nike,2999,45,Lightweight running shoes with cushioned sole
Wheat Flour,Groceries,Aashirvaad,250,200,Premium quality wheat flour (5kg pack)
Basmati Rice,Groceries,India Gate,899,180,Premium aged basmati rice (5kg pack)
Cooking Oil,Groceries,Fortune,180,250,Refined sunflower oil (1L bottle)
Bath Towel,Home,HomePlus,399,100,Soft cotton bath towel (Large size)
Detergent,Cleaning,Surf Excel,549,160,Advanced cleaning powder (4kg pack)
Hand Soap,Personal Care,Dove,45,300,Moisturizing hand soap with cream (75g)
Toothpaste,Personal Care,Colgate,89,400,Cavity protection toothpaste (200g)
Summer Dress,Clothing,Forever21,1299,50,Floral print summer dress in various sizes
Sports Shorts,Clothing,Adidas,899,80,Breathable sports shorts with pockets
Winter Jacket,Clothing,Monte Carlo,2499,40,Warm padded jacket for winter
Formal Shirt,Clothing,Arrow,999,65,Cotton formal shirt for office wear
Tea Bags,Beverages,Tata Tea,145,250,Premium tea bags (100 count)
Coffee Powder,Beverages,Nescafe,289,200,Classic instant coffee (200g jar)
Potato Chips,Snacks,Lays,20,500,Classic salted potato chips (30g pack)
Chocolate Bar,Snacks,Cadbury,40,600,Dairy milk chocolate bar (50g)
Fresh Bread,Bakery,Britannia,40,150,Whole wheat bread loaf
Milk,Dairy,Amul,68,400,Full cream milk (1L pack)
Laptop,Electronics,HP,49999,25,High-performance laptop with 16GB RAM and 512GB SSD
Smartphone,Electronics,Samsung,29999,50,Latest model with 5G and 128GB storage
LED TV,Electronics,Sony,39999,30,55-inch 4K UHD LED Smart TV
Bluetooth Speaker,Electronics,JBL,4999,100,Portable speaker with deep bass
Headphones,Electronics,Boat,1999,120,Over-ear wireless headphones with noise cancellation
Smartwatch,Electronics,Apple,24999,20,Advanced smartwatch with fitness tracking
Microwave Oven,Home,IFB,10499,35,Convection microwave oven with 20L capacity
Refrigerator,Home,LG,25999,15,Double-door refrigerator with smart inverter
Washing Machine,Home,Samsung,32999,10,Front-load washing machine with eco bubble
Air Conditioner,Home,Daikin,42999,5,1.5 Ton split AC with inverter technology
Office Chair,Furniture,Godrej,7999,50,Ergonomic office chair with lumbar support
Study Table,Furniture,Ikea,4999,30,Compact study table with wooden finish
Sofa Set,Furniture,Urban Ladder,39999,5,5-seater sofa set with premium upholstery
Dining Table,Furniture,Pepperfry,29999,10,6-seater dining table with tempered glass top
Curtains,Home,HomeTown,1499,80,Set of 2 blackout curtains (8 feet)
Wall Clock,Home,Ajanta,799,150,Stylish wall clock with silent movement
Ceiling Fan,Home,Havells,2499,100,Energy-efficient ceiling fan with remote control
Water Purifier,Home,Kent,12999,20,RO+UV+UF water purifier with mineral booster
Vacuum Cleaner,Home,Eureka Forbes,7999,30,Compact vacuum cleaner with HEPA filter
Hair Dryer,Personal Care,Philips,1999,80,Compact and lightweight hair dryer
Trimmer,Personal Care,Mi,1499,100,Rechargeable beard trimmer with adjustable comb
Lipstick,Beauty,Lakme,499,200,Long-lasting matte lipstick in vibrant shades
Nail Polish,Beauty,Maybelline,199,300,Quick-dry nail polish with glossy finish
Face Wash,Beauty,Himalaya,149,250,Gentle face wash with natural ingredients
Moisturizer,Beauty,Ponds,249,200,Nourishing moisturizer for dry skin
Body Lotion,Beauty,Nivea,299,150,Hydrating body lotion with aloe vera
Shampoo,Beauty,Head & Shoulders,349,200,Anti-dandruff shampoo (1L bottle)
Conditioner,Beauty,Tresemme,299,180,Moisturizing conditioner for smooth hair
Face Mask,Beauty,Nykaa,99,400,Sheet face mask for glowing skin
Handbag,Fashion,Lavie,2499,50,Trendy handbag with spacious compartments
Backpack,Fashion,Wildcraft,1999,80,Durable backpack with multiple compartments
Sunglasses,Fashion,Ray-Ban,8999,40,Classic aviator sunglasses with UV protection
Wristwatch,Fashion,Fastrack,2499,60,Stylish wristwatch with leather strap
Belt,Fashion,Tommy Hilfiger,1999,50,Genuine leather belt with classic buckle
Wallet,Fashion,Woodland,1499,70,Premium leather wallet with multiple slots
School Bag,Fashion,American Tourister,2499,100,Spacious school bag with padded straps
Water Bottle,Home,Milton,599,200,Insulated stainless steel water bottle (1L)
Lunch Box,Home,Cello,499,150,Microwave-safe lunch box with 3 compartments
Yoga Mat,Fitness,Kobo,1299,80,Non-slip yoga mat with carry strap
Dumbbells,Fitness,Cultsport,1999,50,Adjustable dumbbells (pair)
Treadmill,Fitness,PowerMax,49999,10,Foldable treadmill with heart rate monitor
Cycle,Outdoor,Hercules,7999,30,Mountain bike with 21-speed gears
Tennis Racket,Sports,Wilson,2999,50,Lightweight tennis racket with cover
Football,Sports,Nivia,799,200,Standard size 5 football
Cricket Bat,Sports,SG,4999,30,English willow cricket bat
Badminton Shuttlecock,Sports,Yonex,299,300,Feather shuttlecocks (pack of 6)
Table Tennis Bat,Sports,Stiga,1499,50,Professional table tennis bat
Chess Board,Games,Funskool,499,150,Wooden chess board with chessmen
Carrom Board,Games,Precise,1999,30,Full-size carrom board with coins
Monopoly Board Game,Games,Hasbro,2499,50,Classic Monopoly board game
Puzzle Game,Games,Ravensburger,1499,60,1000-piece jigsaw puzzle
Plant Pot,Garden,Generic,399,100,Decorative plant pot with drainage hole
Garden Tools,Garden,Falcon,1999,30,5-piece gardening tool set
Fertilizer,Garden,IFFCO,599,80,Organic fertilizer (5kg pack)
Seeds,Garden,Ankur,149,200,Vegetable seeds assortment pack
Dog Food,Pets,Pedigree,2499,50,Premium dog food for adult dogs (10kg pack)
Cat Litter,Pets,Whiskas,799,80,Clumping cat litter (10L pack)
Fish Food,Pets,Hikari,399,100,Nutritious fish food (500g pack)
Bird Cage,Pets,Generic,2999,20,Spacious bird cage with accessories
Hamster Wheel,Pets,Pawzone,999,40,Silent exercise wheel for hamsters
Toy Car,Toys,Hot Wheels,199,300,Miniature toy car (single pack)
Doll Set,Toys,Barbie,2999,50,Barbie doll set with accessories
Lego Blocks,Toys,Lego,4999,20,Creative Lego building block set
Board Book,Books,Peppa Pig,299,150,Interactive board book for toddlers
Novel,Books,HarperCollins,499,80,Bestselling fiction novel
Notebook,Stationery,Classmate,60,300,Single-line notebook (200 pages)
Pen,Stationery,Parker,799,100,Fine writing pen with refill
Calculator,Stationery,Casio,2499,50,Scientific calculator with 240 functions
Markers,Stationery,Camlin,149,200,Set of 12 colorful markers
Glue Stick,Stationery,Fevicol,49,400,Quick-drying glue stick (15g)
Stapler,Stationery,Kangaro,299,150,Durable stapler with staple pins
Whiteboard,Office Supplies,Flipkart,1299,30,Magnetic whiteboard with marker and duster
Laptop Stand,Accessories,Amazon Basics,1999,80,Ergonomic laptop stand for desks
Portable Charger,Electronics,Anker,2999,120,High-capacity portable charger with fast charging
Bluetooth Earbuds,Electronics,OnePlus,4999,150,Wireless earbuds with noise isolation
Car Vacuum Cleaner,Automotive,Bergmann,3499,50,Compact vacuum cleaner for cars
